# narkamauka<TAB>taraskievica<TAB>title_be<TAB>revid_be<TAB>title_tarask<TAB>revid_tarask<TAB>similarity
#
# Sentence pairs mined from be.wikipedia.org and be-tarask.wikipedia.org by
# scripts/fetch_parallel_corpus.py. The two wikis are written independently, so
# these are not translations: they are sentences the aligner judged to be the same
# sentence (same token count, >=60% of tokens identical, a clear margin over the
# runner-up). The sample is therefore biased towards short, formulaic sentences.
#
# MEASUREMENT ONLY. Never read by lexicon building, stem mining or model training:
# it exists to measure recall, and a set you have fitted to measures nothing.
# Text is CC BY-SA 4.0; see parallel.README.md.
Аданталогія разглядае пытанні, звязаныя з анатоміяй, фізіялогіяй, паталогіяй і прафілактыкай захворванняў органаў жавання і падзі, разглядаючы іх у сувязі з агульным станам арганізму чалавека і сацыяльнымі ўмовамі яго існавання.	Аданталёгія разглядае пытаньні, зьвязаныя з анатоміяй, фізыялёгіяй, паталёгіяй і прафіляктыкай захворваньняў органаў жаваньня і падзі, разглядаючы іх у сувязі з агульным станам арганізму чалавека і сацыяльнымі ўмовамі ягонага існаваньня.	Аданталогія	4348209	Аданталёгія	2180876	0.655
Паэт прызнаваў яе за адну з найлепшых у сваёй творчасці.	Паэт прызнаваў яе за адну з найлепшых у сваёй творчасьці.	Старыя вароты (паэма)	4550059	Старыя вароты (паэма)	2518659	0.900
Паэма была напісаная ў 1856 г. у Барэйкаўшчыне і выдадзеная асобным выданнем у 1857 г.	Паэма была напісаная ў 1856 г. у Барэйкаўшчыне і выдадзеная асобным выданьнем у 1857 г.	Старыя вароты (паэма)	4550059	Старыя вароты (паэма)	2518659	0.923
Яе пісьменнік прысвяціў Ігнацыю Ходзьку.	Яе пісьменьнік прысьвяціў Ігнацыю Ходзьку.	Старыя вароты (паэма)	4550059	Старыя вароты (паэма)	2518659	0.600
Паэт задумаўся над гэтай выявай, у гэты час ён чытаў творы Скаргі, таму яна нагадала яму гісторыю, як Пётр Скарга за сумленную службу забяспечыў свайго вазніцу пенсіяй.	Паэт задумаўся над гэтай выявай, у гэты час ён чытаў творы Скаргі, таму яна нагадала яму гісторыю, як Пётр Скарга за сумленную службу забясьпечыў свайго вазьніцу пэнсіяй.	Старыя вароты (паэма)	4550059	Старыя вароты (паэма)	2518659	0.889
Праз шмат гадоў, калі памёр ужо і Скарга, і старэйшы Шаліга, маладзён пастанавіў пайсці на службу да Багуслава Радзівіла, перайшоўшы такім чынма на бок шведаў.	Праз шмат гадоў, калі памёр ужо і Скарга, і старэйшы Шаліга, маладзён пастанавіў пайсьці на службу да Багуслава Радзівіла, перайшоўшы такім чынма на бок швэдаў.	Старыя вароты (паэма)	4550059	Старыя вароты (паэма)	2518659	0.920
Аўтар расцэньвае гэты ўчынак як здраду, падкрэсліваючы пачатковую матывацыю прагай грошай.	Аўтар расцэньвае гэты ўчынак як здраду, падкрэсьліваючы пачатковую матывацыю прагай грошай.	Старыя вароты (паэма)	4550059	Старыя вароты (паэма)	2518659	0.909
Насельніцтва на 1 студзеня 2010 года складала 9897 чалавек.	Насельніцтва на 1 студзеня 2010 году склала 9897 чалавек.	Кандаўскі край	4976770	Кандаўскі край	2035423	0.667
«Крылы Саветаў» (руск.: Крылья Советов) — расійскі футбольны клуб з горада Самара.	«Крылы Саветаў» (па-расейску: Крылья Советов) — расейскі футбольны клюб з гораду Самара.	ФК Крылы Саветаў Самара	4875477	Крылы Саветаў Самара	2691315	0.636
Да 2014 года быў адзіным немаскоўскім клубам, які ўдзельнічаў ва ўсіх розыгрышах найвышэйшай лігі, разам з ЦСКА, «Спартаком», «Дынама» і «Лакаматывам».	Да 2014 году быў адзіным немаскоўскім клюбам, які ўдзельнічаў ува ўсіх розыгрышах найвышэйшай лігі, разам з ЦСКА, «Спартаком», «Дынама» й «Лякаматывам».	ФК Крылы Саветаў Самара	4875477	Крылы Саветаў Самара	2691315	0.750
З улікам чэмпіянатаў СССР клуб больш за 45 сезонаў правёў у элітных дывізіёнах расійскага футбола.	З улікам чэмпіянатаў СССР клюб больш за 45 сэзонаў правёў у элітных дывізіёнах расейскага футболу.	ФК Крылы Саветаў Самара	4875477	Крылы Саветаў Самара	2691315	0.714
Першая каманда, якая ў чэмпіянаце Расіі па футболе дасягнула мяжы ў 500 згуляных матчаў.	Першая каманда, якая ў чэмпіянаце Расеі па футболе дасягнула мяжы ў 500 згуляных матчаў.	ФК Крылы Саветаў Самара	4875477	Крылы Саветаў Самара	2691315	0.923
Першы свой матч яна правяла ўжо 3 мая 1942 года. 30 ліпеня 1944 года адбыўся дэбют «Крылаў Саветаў» у Кубку СССР.	Першы свой матч яна правяла ўжо 3 траўня 1942 году. 30 ліпеня 1944 году адбыўся дэбют «Крылаў Саветаў» у Кубку СССР.	ФК Крылы Саветаў Самара	4875477	Крылы Саветаў Самара	2691315	0.824
У матчы 1/16 фінала «Крылы Саветаў» саступілі футбалістам маскоўскага «Лакаматыва» з лікам 1:5.	У матчы 1/16 фіналу «Крылы Саветаў» саступілі футбалістам маскоўскага «Лякаматыва» зь лікам 1:5.	ФК Крылы Саветаў Самара	4875477	Крылы Саветаў Самара	2691315	0.727
Першую гульню на першынство СССР (2-я група) «Крылы Саветаў» правялі на куйбышаўскім стадыёне «Лакаматыў» 3 чэрвеня 1945 года супраць каманды «Тарпеда» (Горкі) і завяршылі яе ўнічыю з лікам 1:1.	Першую гульню на першынство СССР (2-я група) «Крылы Саветаў» правялі на куйбышаўскім стадыёне «Лякаматыў» 3 чэрвеня 1945 году супраць каманды «Тарпэда» (Горкі) і завяршылі яе ўнічыю зь лікам 1:1.	ФК Крылы Саветаў Самара	4875477	Крылы Саветаў Самара	2691315	0.846
Гол, які стаў для «Крылаў Саветаў» першым у чэмпіянатах СССР, забіў Пётр Бурмістраў.	Гол які стаў для «Крылаў Саветаў» першым у чэмпіянатах СССР забіў Пётар Бурмістраў.	ФК Крылы Саветаў Самара	4875477	Крылы Саветаў Самара	2691315	0.923
У другім матчы «Крылы Саветаў» дома атрымалі перамогу над ленінградскім «Спартаком» 3:0, а затым перамаглі з лікам 2:1 «Балтфлот».	У другім матчы «Крылы Саветаў» дома атрымалі перамогу над ленінградзкім «Спартаком» 3:0, а затым перамаглі зь лікам 2:1 «Балтфлёт».	ФК Крылы Саветаў Самара	4875477	Крылы Саветаў Самара	2691315	0.824
Самарскі клуб дэбютаваў у чэмпіянаце Расіі ў Маскве 29 сакавіка 1992 года ў матчы супраць сталічнага «Спартака» (0:5).	Самарскі клюб дэбютаваў у чэмпіянаце Расеі ў Маскве 29 сакавіка 1992 году ў матчы супраць сталічнага «Спартака» (0:5).	ФК Крылы Саветаў Самара	4875477	Крылы Саветаў Самара	2691315	0.800
Працягвае вуліцу Замкавую і вядзе да Ратушнай плошчы.	Працягвае вуліцу Замкавую і вядзе да Ратушнага пляцу.	Вялікая вуліца (Вільня)	5190312	Вялікая вуліца (Вільня)	2512240	0.750
Пасля Другой сусветнай вайне савецкія ўлады перайменавалі вуліцу ў імя расійскага пісьменніка Максіма Горкага.	Па Другой сусьветнай вайне савецкія ўлады перайменавалі вуліцу ў імя расейскага пісьменьніка Максіма Горкага.	Вялікая вуліца (Вільня)	5190312	Вялікая вуліца (Вільня)	2512240	0.714
З правага заходняга боку вуліцы дамы з няцотнымі нумарамі, з левага ўсходняга боку — цотная нумарацыя.	З правага заходняга боку вуліцы дамы зь няцотнымі нумарамі, зь левага ўсходняга боку — цотная нумарацыя.	Вялікая вуліца (Вільня)	5190312	Вялікая вуліца (Вільня)	2512240	0.867
У 1807 годзе 2-павярховы будынак рэканструяваў архітэктар Міхал Шульц, які прыстасаваў яго пад кватэры прафесараў Віленскага ўніверсітэта.	У 1807 годзе 2-павярховы будынак рэканструяваў архітэктар Міхал Шульц, які прыстасаваў яго пад кватэры прафэсараў Віленскага ўнівэрсытэту.	Вялікая вуліца (Вільня)	5190312	Вялікая вуліца (Вільня)	2512240	0.875
У 1812 годзе тут ладзіліся банкеты спярша ў гонар расійскага імператара Аляксандра І, а потым — Напалеона Банапарта.	У 1812 годзе тут ладзіліся банкеты сьпярша ў гонар расейскага імпэратара Аляксандра І, а потым — Напалеона Банапарта.	Вялікая вуліца (Вільня)	5190312	Вялікая вуліца (Вільня)	2512240	0.812
У 1822 годзе ў будынку збіраліся філарэты.	У 1822 годзе ў будынку зьбіраліся філярэты.	Вялікая вуліца (Вільня)	5190312	Вялікая вуліца (Вільня)	2512240	0.667
Як сведчыць шыльда, усталяваная на будынку, сюды ў 1520 годзе беларускі асветнік Францішак Скарына перавёз з Прагі сваю друкарню.	Як сьведчыць шыльда, усталяваная на будынку, сюды ў 1520 годзе беларускі асьветнік Францішак Скарына перавёз з Прагі сваю друкарню.	Вялікая вуліца (Вільня)	5190312	Вялікая вуліца (Вільня)	2512240	0.889
У 1920-х гады святар Аляксандр Коўш спярша аднавіў дзейнасць замёрлай пасля вайны царквы, а потым дамогся ад кансісторыі перадачы святыні Віленскай беларускай гімназіі.	У 1920-х гады сьвятар Аляксандар Коўш сьпярша аднавіў дзейнасьць замёрлай па вайне царквы, а потым дамогся ад кансысторыі перадачы сьвятыні Віленскай беларускай гімназіі.	Вялікая вуліца (Вільня)	5190312	Вялікая вуліца (Вільня)	2512240	0.652
У 1611 і 1619 гадах прадстаўнікі роду Хадкевічаў набылі дзве камяніцы, на аснове якіх збудавалі палац у стылі рэнесансу.	У 1611 і 1619 гадох прадстаўнікі роду Хадкевічаў набылі дзьве камяніцы, на аснове якіх збудавалі палац у стылі рэнэсансу.	Вялікая вуліца (Вільня)	5190312	Вялікая вуліца (Вільня)	2512240	0.824
У 1803 годзе будынак выкупіў Віленскі ўніверсітэт.	У 1803 годзе будынак выкупіў Віленскі ўнівэрсытэт.	Вялікая вуліца (Вільня)	5190312	Вялікая вуліца (Вільня)	2512240	0.833
У 1834 годзе палац перабудавалі ў стылі класіцызму.	У 1834 годзе палац перабудавалі ў стылі клясыцызму.	Вялікая вуліца (Вільня)	5190312	Вялікая вуліца (Вільня)	2512240	0.857
У 1514 годзе пасля пераможнай Аршанскай бітвы князь Канстанцін Астрожскі ў падзяку Богу і ў гонар перамогі над маскоўскімі войскамі збудаваў на месцы драўлянай новую мураваную царкву.	У 1514 годзе па пераможнай Аршанскай бітве князь Канстантын Астроскі ў падзяку Богу і ў гонар перамогі над маскоўскімі войскамі збудаваў на месцы драўлянай новую мураваную царкву.	Вялікая вуліца (Вільня)	5190312	Вялікая вуліца (Вільня)	2512240	0.846
З 1645 года будынкам валодаў род Масальскіх.	З 1645 году будынкам валодаў род Масальскіх.	Вялікая вуліца (Вільня)	5190312	Вялікая вуліца (Вільня)	2512240	0.833
У 1914 годзе тут жыў архіепіскап віленскі і літоўскі Ціхан (Белавін), будучы патрыярх Маскоўскі і ўсяе Русі, які востра крытыкаваў савецкую ўладу.	У 1914 годзе тут жыў архіяпіскап віленскі і літоўскі Ціхан (Белавін), будучы патрыярх Маскоўскі і ўсяе Расеі, які востра крытыкаваў савецкую ўладу.	Вялікая вуліца (Вільня)	5190312	Вялікая вуліца (Вільня)	2512240	0.905
У 1998 годзе скончыў факультэт гісторыі і сацыялогіі Гродзенскага дзяржаўнага ўніверсітэта імя Я.	У 1998 годзе скончыў факультэт гісторыі і сацыялёгіі Гарадзенскага дзяржаўнага ўнівэрсытэту імя Я.	Андрэй Мікалаевіч Янушкевіч	5160225	Андрэй Янушкевіч	2198135	0.750
У 2002 годзе абараніў кандыдацкую дысертацыю на тэму «Першая Інфлянцкая вайна (1558—1570 гг.) і яе ўплыў на развіццё сацыяльна-палітычных працэсаў у Вялікім Княстве Літоўскім».	У 2002 годзе абараніў кандыдацкую дысэртацыю на тэму «Першая Інфлянцкая вайна (1558 — 1570 гг.) і яе ўплыў на разьвіцьцё сацыяльна-палітычных працэсаў у Вялікім Княстве Літоўскім».	Андрэй Мікалаевіч Янушкевіч	5160225	Андрэй Янушкевіч	2198135	0.909
Інстытута гісторыі НАН Беларусі.	Інстытуту гісторыі НАН Беларусі.	Андрэй Мікалаевіч Янушкевіч	5160225	Андрэй Янушкевіч	2198135	0.750
Ртутныя барометры — найбольш дакладныя, выкарыстоўваюцца на метэаралагічных станцыях.	Ртутныя баромэтры — найбольш дакладныя, выкарыстоўваюцца на мэтэаралягічных станцыях.	Барометр	5147622	Баромэтар	2593618	0.750
У побыце звычайна выкарыстоўваюцца механічныя барометры (анероід).	У побыце звычайна выкарыстоўваюцца мэханічныя баромэтры (анероід).	Барометр	5147622	Баромэтар	2593618	0.714
У анероідзе вадкасці няма (па-грэчаску: «анероід» — «бязводны»).	У анероідзе вадкасьці няма (па-грэцку: «анероід» — «бязводны»).	Барометр	5147622	Баромэтар	2593618	0.714
Ён паказвае атмасферны ціск, які ўздзейнічае на гафрыраваную танкасценную металічную скрынку, у якой створана разрэджванне.	Ён паказвае атмасфэрны ціск, які ўзьдзейнічае на гафрыраваную танкасьценную мэталічную скрынку, у якой створана разрэджваньне.	Барометр	5147622	Баромэтар	2593618	0.667
Пры паніжэнні атмасфернага ціску скрынка злёгку пашыраецца, а пры падвышэнні — сціскаецца і ўздзейнічае на прымацаваную да яе спружыну.	Пры паніжэньні атмасфэрнага ціску скрынка зьлёгку пашыраецца, а пры падвышэньні — сьціскаецца й узьдзейнічае на прымацаваную да яе спружыну.	Барометр	5147622	Баромэтар	2593618	0.611
Для гэтага яны правялі аналіз скамянелых рэштак аўстралійскіх яшчараў узростам ад 300 тысяч гадоў да 4 мільёнаў гадоў.	Для гэтага яны правялі аналіз скамянелых рэштак аўстралійскіх яшчараў узростам ад 300 тысячаў гадоў да 4 мільёнаў гадоў.	Варан камодскі	4966610	Варан камодзкі	2196517	0.938
Звычайная даўжыня цела з хвастом каля 3 метраў, а вага каля 70 кілаграм.	Звычайная даўжыня цела з хвастом каля 3 мэтраў, а вага каля 70 кіляграмаў.	Варан камодскі	4966610	Варан камодзкі	2196517	0.818
Зубы ў жывёл загнутыя назад, дзякуючы ім варан лёгка адкусвае цэлыя кавалкі з цела здабычы.	Зубы ў жывёлаў загнутыя назад, дзякуючы ім варан лёгка адкусвае цэлыя кавалкі зь цела здабычы.	Варан камодскі	4966610	Варан камодзкі	2196517	0.867
Ежу не жуе, будова сківіц і глоткі дазваляе глытаць адразу вялікія кавалкі.	Ежу не жуе, будова сківіцаў і глоткі дазваляе глынаць адразу вялікія кавалкі.	Варан камодскі	4966610	Варан камодзкі	2196517	0.833
Выкопвае норы глыбінёй да 5 метраў.	Выкопвае норы глыбінёй да 5 мэтраў.	Варан камодскі	4966610	Варан камодзкі	2196517	0.800
Сілкуецца дзікімі свіннямі, козамі, аленямі, малпамі, сабакамі, а таксама падлай.	Сілкуецца дзікімі сьвіньнямі, козамі, аленямі, малпамі, сабакамі, а таксама падлай.	Варан камодскі	4966610	Варан камодзкі	2196517	0.900
Палюе з засады, кідаючыся на ахвяру з невялікай адлегласці.	Палюе з засады, кідаючыся на ахвяру зь невялікай адлегласьці.	Варан камодскі	4966610	Варан камодзкі	2196517	0.778
Лічыцца, што ў сліне гэтай жывёлы ўтрымоўваецца шмат бактэрый, таму яго ўкусы лёгка выклікаюць заражэнне, нярэдка смяротнае.	Лічыцца, што ў сьліне гэтай жывёлы ўтрымоўваецца шмат бактэрыяў, таму яго ўкусы лёгка выклікаюць заражэньне, нярэдка сьмяротнае.	Варан камодскі	4966610	Варан камодзкі	2196517	0.765
У маі самка адкладае ў нару да 25 яйкаў, кожнае важыць каля 200 грам.	У траўні самка адкладае ў нару да 25 яйкаў, кожнае важыць каля 200 грамаў.	Варан камодскі	4966610	Варан камодзкі	2196517	0.833
Франц быў першым дзіцём у сям’і Германа і Юліі Кафкаў (у дзявоцтве Леві).	Франц быў першым дзіцём у сям’і Германа й Юліі Кафкаў (у дзявоцтве Леві).	Франц Кафка	4842623	Франц Кафка	2564541	0.923
Сям’я Кафкі належала да сярэдняга класа: бацька, сам будучы чацвёртым дзіцём у беднай правінцыйнай сям’і, пасля прыезду ў Прагу адкрыў галантарэйную краму, маці была родам з забяспечанай сям’і півавараў з Подзебрадаў.	Сям’я Кафкі належала да сярэдняй клясы: бацька, сам будучы чацьвертым дзіцём у беднай правінцыйнай сям’і, пасьля прыезду ў Прагу адкрыў галянтэрыйную краму, маці была родам з забясьпечанай сям’і півавараў з Подэбрадаў.	Франц Кафка	4842623	Франц Кафка	2564541	0.774
Сына, народжанага меней чым год пасля шлюбу, назвалі Францам у гонар Імператара Франца Іосіфа.	Сына, народжанага меней чым год пасьля шлюбу, назвалі Францам у гонар Імпэратара Франца Ёсіфа.	Франц Кафка	4842623	Франц Кафка	2564541	0.786
Хаця большасць насельніцтва Прагі ў тыя часы размаўляла па-чэшску, мовай эліты была нямецкая.	Хаця большасьць насельніцтва Прагі ў тыя часы размаўляла па-чэску, мовай эліты была нямецкая.	Франц Кафка	4842623	Франц Кафка	2564541	0.846
Будучы яўрэем, ён аднак амаль не ведаў ідыш і стаў цікавіцца традыцыйнай культурай свайго народу толькі ў дваццаць гадоў, а іўрыт пачаў вывучаць толькі ў канцы жыцця.	Будучы габрэям, ён аднак амаль ня ведаў ідыш і стаў цікавіцца традыцыйнай культурай свайго народу толькі ў дваццаць гадоў, а іўрыт пачаў вывучаць толькі ў канцы жыцьця.	Франц Кафка	4842623	Франц Кафка	2564541	0.889
У жніўні таго ж года распачаў навучанне ў Карлавым універсітэце Прагі.	У жніўні таго ж году распачаў навучаньне ў Карлавым унівэрсытэце Прагі.	Франц Кафка	4842623	Франц Кафка	2564541	0.727
Прысвяціўшы два тыдні хіміі, ён аднак перавёўся на факультэт права.	Прысьвяціўшы два тыдні хіміі, ён аднак перавёўся на факультэт права.	Франц Кафка	4842623	Франц Кафка	2564541	0.900
Дзякуючы Броду большасць твораў Кафкі і пабачыла свет.	Дзякуючы Броду большасьць твораў Кафкі і пабачыла сьвет.	Франц Кафка	4842623	Франц Кафка	2564541	0.750
З 1908 да 1922 года Кафка працаваў у страхавой фірме ў Празе і меў шмат службовых падарожжаў па Чэхіі.	З 1908 да 1922 году Кафка працаваў у страхавой фірме ў Празе і меў шмат службовых падарожжаў па Чэхіі.	Франц Кафка	4842623	Франц Кафка	2564541	0.941
Да 35 гадоў Кафка жыў разам з бацькамі.	Да 35 гадоў Кафка жаў разам з бацькамі.	Франц Кафка	4842623	Франц Кафка	2564541	0.857
Ён меў складаныя адносіны са сваім дэспатычным айцом і да канца жыцця застаўся кавалерам.	Ён меў складаныя адносіны са сваім дэспатычным айцом і да канца жыцьця застаўся кавалерам.	Франц Кафка	4842623	Франц Кафка	2564541	0.929
У перыяд паміж 1912 і 1917 годам ён заляцаўся да берлінскай сакратаркі Феліцыі Баўэр, двойчы быў з ёй заручаны і двойчы зрываў шлюб.	У пэрыяд паміж 1912 і 1917 гадамі ён заляцаўся да бэрлінскай сакратаркі Фэліцыі Баўэр, двойчы быў зь ёй заручаны і двойчы зрываў шлюб.	Франц Кафка	4842623	Франц Кафка	2564541	0.762
Істотнай жанчынай у жыцці Кафкі была Мілена Есэнская – чэшская журналістка, пісьменніца і перакладчыца яго твораў.	Істотнай жанчынай у жыцьці Кафкі была Мілена Есэнская — чэская журналістка, пісьменьніца й перакладчыца ягоных твораў.	Франц Кафка	4842623	Франц Кафка	2564541	0.667
Апошняй жанчынай Кафкі была Дора Дымант, жыдоўка з артадаксальнай сям’і з Паб’яніцаў, якая зацікавіла яго вывучэннем Талмуда.	Апошняй жанчынай Кафкі была Дора Дымант, габрэйка з артадаксальнай сям’і з Пабяніцаў, якая зацікавіла яго вывучэньнем Талмуду.	Франц Кафка	4842623	Франц Кафка	2564541	0.765
У 1922 годзе праз прагрэсуючыя сухоты Кафка быў вымушаны сысці з працы.	У 1922 годзе праз прагрэсуючыя сухоты Кафка быў вымушаны сысьці з працы.	Франц Кафка	4842623	Франц Кафка	2564541	0.909
У 1923 годзе ён перабраўся ў Берлін, каб жыць разам з Дорай Дымант.	У 1923 годзе ён перабраўся ў Бэрлін, каб жыць разам з Дорай Дымант.	Франц Кафка	4842623	Франц Кафка	2564541	0.917
У той час ён імкнуўся займацца толькі творчасцю.	У той час ён імкнуўся займацца толькі творчасьцю.	Франц Кафка	4842623	Франц Кафка	2564541	0.875
У той жа час паўстала першая глава няскончанага рамана Амерыка.	У той жа час паўстала першая глава няскочанага раману Амэрыка.	Франц Кафка	4842623	Франц Кафка	2564541	0.700
Галоўныя яго творы – Зніклы, Працэс і Замак – выйшлі з друку ўжо пасля яго смерці і насуперак апошняму жаданню (Кафка прасіў Макса Брода знішчыць рукапісы).	Галоўныя яго творы — Амэрыка, Працэс і Замак — выйшлі з друку ўжо пасьля яго сьмерці і насуперак апошняму жаданьню (Кафка прасіў Макса Брода зьнішчыць рукапісы).	Франц Кафка	4842623	Франц Кафка	2564541	0.792
Таксама пасля смерці былі выдадзеныя дзённікі і ліставанні Кафкі з Бродам, Феліцыяй Баўэр і некаторымі іншымі асобамі.	Таксама пасьля сьмерці былі выдадзеныя дзёньнікі і ліставаньні Кафкі з Бродам, Фэліцыяй Баўэр і некаторымі іншымі асобамі.	Франц Кафка	4842623	Франц Кафка	2564541	0.706
Пазней мястэчка атрымала назву Шумск у гонар яго ўладальнікаў Шумскіх.	Пазьней мястэчка атрымала назву Шумск у гонар яго ўладальнікаў Шумскіх.	Шумск (Літва)	4942428	Шумск (Віленскі павет)	2408644	0.900
З-за секвестру радзівілаўскіх маёнткаў юнацкія гады правёў у Чэхіі і Германіі.	З-за секвестру радзівілаўскіх маёнткаў юнацкія гады правёў у Чэхіі і Нямеччыны.	Геранім Вінцэнт Радзівіл	5054610	Геранім Вінцэнт Радзівіл	2601294	0.909
Атрымаў дамашнюю адукацыю, адным з яго настаўнікаў быў Юзаф Катэнбрынг.	Атрымаў дамашнюю адукацыю, адным зь яго настаўнікаў быў Юзэф Катэнбрынг.	Геранім Вінцэнт Радзівіл	5054610	Геранім Вінцэнт Радзівіл	2601294	0.800
Быў падапечным, а пасля блізкім паплечнікам свайго брата Караля Станіслава Радзівіла «Пане Каханку», які дапамог яму атрымаць высокія пасады на радзіме.	Быў падапечным, а пасьля блізкім паплечнікам свайго брата Караля Станіслава Радзівіла «Пане Каханку», які дапамог яму атрымаць высокія пасады на радзіме.	Геранім Вінцэнт Радзівіл	5054610	Геранім Вінцэнт Радзівіл	2601294	0.952
За заслугі ўзнагароджаны ордэнамі Белага Арла і Святога Губерта.	За заслугі ўзнагароджаны ордэнамі Белага Арла і Сьвятога Губерта.	Геранім Вінцэнт Радзівіл	5054610	Геранім Вінцэнт Радзівіл	2601294	0.889
Трымаў тэатр у Белай.	Трымаў тэатар у Белай.	Геранім Вінцэнт Радзівіл	5054610	Геранім Вінцэнт Радзівіл	2601294	0.750
Закаханыя адзін у аднаго муж і жонка не раз бывалі ў свеце, толькі ў 1777 годзе іх прымалі імператрыца Марыя Тэрэзія ў Вене і кароль Станіслаў Аўгуст у Варшаве.	Закаханыя адзін у аднаго муж і жонка ня раз бывалі ў сьвеце, толькі ў 1777 годзе іх прымалі імпэратрыца Марыя Тэрэзія ў Вене і кароль Станіслаў Аўгуст у Варшаве.	Геранім Вінцэнт Радзівіл	5054610	Геранім Вінцэнт Радзівіл	2601294	0.893
Чэх па нараджэнні, падарожнічаў па Еўропе, выступаючы як піяніст і маэстра шкляной гармонікі.	Чэх па нараджэньні, падарожнічаў па Эўропе, выступаючы як піяніст і маэстра шкляной гармонікі.	Геранім Вінцэнт Радзівіл	5054610	Геранім Вінцэнт Радзівіл	2601294	0.846
У сакавіку 1783 года ён выступаў у Варшаве, адкуль прадоўжыў сваё падарожжа ў Нясвіж.	У сакавіку 1783 году ён выступаў у Варшаве, адкуль прадоўжыў сваё падарожжа ў Нясьвіж.	Геранім Вінцэнт Радзівіл	5054610	Геранім Вінцэнт Радзівіл	2601294	0.846
Са студзеньскага палону, яму ўдалося выратавацца ўцёкамі.	Са студнёвага палону, яму ўдалося выратавацца ўцёкамі.	Геранім Вінцэнт Радзівіл	5054610	Геранім Вінцэнт Радзівіл	2601294	0.857
На гэтым не спыніліся праблемы Радзівілаў з Таксіс, якая не мела намеру вяртацца да мужа, пражывала паслядоўна ў Кёнігсбергу і Рэгенсбургу.	На гэтым не спыніліся праблемы Радзівілаў з Таксіс, якая ня мела намеру вяртацца да мужа, пражывала пасьлядоўна ў Кёнігсбергу і Рэгенсбурзе.	Геранім Вінцэнт Радзівіл	5054610	Геранім Вінцэнт Радзівіл	2601294	0.857
Варагуючая пара канчаткова распалася ў студзені 1786 года, калі князь Геранім ініцыяваў развод.	Варагуючая пара канчаткова распалася ў студзені 1786 году, калі князь Геранім ініцыяваў развод.	Геранім Вінцэнт Радзівіл	5054610	Геранім Вінцэнт Радзівіл	2601294	0.917
Язэп Сажыч (5 верасня 1917, в.	Язэп Сажыч (5 верасьня 1917, в.	Язэп Сажыч	4996098	Язэп Сажыч	2544923	0.750
Дзед Язэпа Тамаш, адслужыўшы ў войску 25 гадоў, атрымаў дзве дзесяціны зямлі каля Наваградку.	Дзед Язэпа Тамаш, адслужыўшы ў войску 25 гадоў, атрымаў дзьве дзесяціны зямлі каля Наваградку.	Язэп Сажыч	4996098	Язэп Сажыч	2544923	0.923
Быў пераведзены ў шпіталь у Лодзі, адкуль праз Беласток і Баранавічы вярнуўся ў Наваградак.	Быў пераведзены ў шпіталь у Лодзі, адкуль празь Беласток і Баранавічы вярнуўся ў Наваградак.	Язэп Сажыч	4996098	Язэп Сажыч	2544923	0.929
Працаваў скарбнікам у сельпо, пасля паступіў на ўлікова-эканамічны факультэт Львоўскага універсітэту.	Працаваў скарбнікам у сельпо, пасьля паступіў на ўлікова-эканамічны факультэт Львоўскага ўнівэрсытэту.	Язэп Сажыч	4996098	Язэп Сажыч	2544923	0.818
З нападам Германіі на Савецкі Саюз быў мабілізаваны ў Чырвоную Армію, але дэзертыраваў і вярнуўся ў Львоў.	З нападам Нямеччыны на Савецкі Саюз быў мабілізаваны ў Чырвоную Армію, але дэзэртаваў і вярнуўся ў Львоў.	Язэп Сажыч	4996098	Язэп Сажыч	2544923	0.882
Улетку 1942 прызначаны камендантам падафіцэрскай школы Беларускай народнае самапомачы.	Улетку 1942 прызначаны камэндантам падаафіцэрскае школы Беларускае народнае самапомачы.	Язэп Сажыч	4996098	Язэп Сажыч	2544923	0.625
У лютым 1943 на загад Франца Кушаля зарганізаваў у Лідзе Беларускі батальён чыгуначнай аховы, удзельнічаў у яго фармаванні ў Маладзечне, Стоўбцах, Баранавічах.	У лютым 1943 на загад Франца Кушаля зарганізаваў у Лідзе Беларускі батальён чыгуначнай аховы, удзельнічаў у яго фармаваньні ў Маладэчне, Стоўпцах, Баранавічах.	Язэп Сажыч	4996098	Язэп Сажыч	2544923	0.857
Ад ліпеня 1943 таксама выкладаў у афіцэрскай школе ў Мінску.	Ад ліпеня 1943 таксама выкладаў у афіцэрскай школе ў Менску.	Язэп Сажыч	4996098	Язэп Сажыч	2544923	0.889
У чэрвені 1944 удзельнічаў у ахове Другога Усебеларускага кангрэсу, тады ж уступіў у Беларускую незалежніцкую партыю.	У чэрвені 1944 удзельнічаў у ахове Другога Ўсебеларускага кангрэсу, тады ж уступіў у Беларускую незалежніцкую партыю.	Язэп Сажыч	4996098	Язэп Сажыч	2544923	0.933
Быў перавезены на французскую мяжу, у Саарбрукен.	Быў перавезены на францускую мяжу, у Саарбрукен.	Язэп Сажыч	4996098	Язэп Сажыч	2544923	0.857
